iter	RMSE
0	66.58640885
1	63.53525867
2	60.61224492
3	57.79670192
4	55.17216139
5	52.76122331
6	50.2734594
7	48.02812043
8	45.78455202
9	43.74439086
10	41.76372798
11	39.89919416
12	38.12967408
13	36.39292633
14	34.73492725
15	33.21194582
16	31.71773631
17	30.31472384
18	28.96067018
19	27.71023364
20	26.50516972
21	25.33807633
22	24.27661794
23	23.19684033
24	22.22204189
25	21.29214463
26	20.39010631
27	19.56303575
28	18.72248449
29	17.93197871
30	17.19867914
31	16.52564513
32	15.86098537
33	15.23552461
34	14.64324615
35	14.0719057
36	13.55614052
37	13.04961319
38	12.60120916
39	12.16114347
40	11.73321921
41	11.34317238
42	10.96102296
43	10.6195471
44	10.27945875
45	9.964204373
46	9.664235554
47	9.391376453
48	9.129280785
49	8.880682027
50	8.650046327
51	8.426050705
52	8.207224864
53	8.00137503
54	7.81856144
55	7.649679937
56	7.487409404
57	7.332941332
58	7.196617231
59	7.075910481
60	6.95126039
61	6.834183873
62	6.722389286
63	6.611981768
64	6.510169823
65	6.415102122
66	6.32787909
67	6.242618273
68	6.156741026
69	6.083483362
70	6.009869756
71	5.940596454
72	5.875789548
73	5.813540318
74	5.754477514
75	5.69993574
76	5.651963819
77	5.59927465
78	5.55199233
79	5.516140738
80	5.475008724
81	5.433927875
82	5.400390896
83	5.366037617
84	5.330819183
85	5.295428982
86	5.264351146
87	5.234273889
88	5.201910704
89	5.178083418
90	5.155287419
91	5.134206575
92	5.114042903
93	5.092734419
94	5.069317557
95	5.049793645
96	5.021529766
97	5.000689577
98	4.979038159
99	4.960864298
100	4.944936432
101	4.926372035
102	4.912176142
103	4.895579432
104	4.881096474
105	4.862093976
106	4.848965553
107	4.83758291
108	4.824420061
109	4.816423794
110	4.80431513
111	4.787106515
112	4.774802079
113	4.765758785
114	4.754102778
115	4.742846504
116	4.734566932
117	4.724869004
118	4.712535431
119	4.701603599
120	4.690419041
121	4.680772286
122	4.663591185
123	4.644030992
124	4.631403912
125	4.624106988
126	4.615947678
127	4.608423212
128	4.593915316
129	4.585425987
130	4.574014575
131	4.561917786
132	4.551166513
133	4.541509531
134	4.534902739
135	4.527246352
136	4.521364821
137	4.513725646
138	4.507749472
139	4.499315054
140	4.491543742
141	4.4853124
142	4.480093666
143	4.474341757
144	4.464203525
145	4.457577356
146	4.44803333
147	4.442935864
148	4.437987763
149	4.432143154
150	4.422245382
151	4.417821416
152	4.413496374
153	4.408052057
154	4.402171957
155	4.396339338
156	4.391754448
157	4.386324583
158	4.381407161
159	4.377306145
160	4.372469863
161	4.365214785
162	4.361298915
163	4.358629619
164	4.354799599
165	4.35107622
166	4.342576092
167	4.338799728
168	4.333345153
169	4.329731755
170	4.320668957
171	4.317133303
172	4.313393083
173	4.309505162
174	4.306555994
175	4.301693807
176	4.29520659
177	4.28474602
178	4.279068225
179	4.276188371
180	4.27270268
181	4.270718644
182	4.263105268
183	4.254320696
184	4.246620219
185	4.242607897
186	4.238609705
187	4.228875854
188	4.223843274
189	4.222004053
190	4.214840626
191	4.211761305
192	4.205262814
193	4.193056145
194	4.187888985
195	4.181811374
196	4.174227046
197	4.167092271
198	4.156249634
199	4.153345908
