iter	Passed	Remaining
0	1	266
1	2	249
2	3	235
3	4	237
4	6	252
5	7	238
6	8	231
7	9	225
8	10	217
9	11	213
10	12	214
11	13	213
12	14	208
13	15	204
14	16	200
15	17	197
16	18	195
17	19	192
18	19	189
19	21	189
20	21	187
21	23	186
22	24	188
23	25	186
24	26	184
25	27	182
26	28	181
27	29	179
28	30	177
29	31	177
30	32	175
31	33	174
32	34	172
33	35	171
34	36	170
35	37	168
36	38	167
37	39	166
38	40	165
39	40	163
40	42	163
41	43	163
42	44	162
43	45	160
44	46	161
45	48	161
46	50	163
47	52	167
48	54	167
49	56	168
50	57	167
51	58	166
52	59	164
53	60	164
54	61	162
55	62	160
56	63	159
57	65	160
58	68	162
59	69	162
60	70	161
61	71	159
62	72	157
63	73	156
64	74	154
65	75	152
66	76	151
67	77	150
68	78	148
69	79	148
70	80	147
71	82	145
72	82	144
73	83	142
74	84	141
75	85	139
76	87	138
77	88	137
78	89	137
79	91	136
80	92	135
81	93	134
82	94	133
83	96	133
84	97	132
85	99	131
86	100	130
87	101	129
88	102	127
89	103	126
90	104	125
91	105	124
92	106	123
93	107	121
94	108	120
95	109	118
96	110	117
97	111	116
98	112	115
99	113	113
100	114	112
101	116	111
102	117	110
103	118	109
104	119	107
105	119	106
106	120	105
107	121	103
108	123	102
109	124	102
110	126	101
111	127	100
112	128	98
113	129	97
114	130	96
115	131	95
116	132	93
117	133	92
118	134	91
119	135	90
120	136	89
121	137	88
122	138	86
123	139	85
124	140	84
125	141	83
126	142	82
127	143	80
128	144	79
129	145	78
130	146	77
131	147	75
132	148	74
133	149	73
134	150	72
135	151	71
136	152	70
137	154	69
138	155	68
139	156	66
140	157	65
141	158	64
142	159	63
143	160	62
144	161	61
145	162	60
146	163	58
147	164	57
148	164	56
149	165	55
150	166	54
151	167	52
152	168	51
153	169	50
154	172	49
155	173	48
156	174	47
157	176	46
158	177	45
159	178	44
160	179	43
161	180	42
162	182	41
163	182	40
164	183	39
165	184	37
166	185	36
167	186	35
168	187	34
169	188	33
170	189	32
171	191	31
172	191	29
173	192	28
174	193	27
175	194	26
176	199	25
177	200	24
178	201	23
179	202	22
180	203	21
181	204	20
182	205	19
183	206	17
184	207	16
185	207	15
186	209	14
187	210	13
188	211	12
189	212	11
190	213	10
191	214	8
192	216	7
193	217	6
194	218	5
195	219	4
196	220	3
197	220	2
198	221	1
199	222	0
